Timestamp,Who is filling this form?,Level Of Courses (Difficulty),A Clean Environment,Employing teachers with competency,Preventing Discrimination and Persuasion,Providing laboratory & workshop facilities,The school timetable,Performing group work,Mental health assessment of all students,Presenting more sporting & artistic classes,Being able to solve problems of the learner,Courses should have creative and colorful instructional materials and fun activities.,Focus on the individual,"Involve with fundamental and critical aspects of learner , about manner of living",Course relevance,Issues of concern should be made a point of conversation within age appropriate classrooms and children made aware of existing realities.,Are these problems being solved by the School?,"Any other factors , according to you , which contribute to happiness index"
3/22/2022 18:51:20,Student,3,5,5,4,5,3,3,5,5,5,5,5,4,5,5,10,
3/22/2022 18:53:35,Student,4,3,3,4,5,3,5,2,2,4,2,3,3,5,4,6,
3/22/2022 19:14:36,Student,3,5,5,5,4,4,3,5,5,5,5,5,5,5,5,1,Focusing on learnings gained by the students instead of the marks obtained.
3/22/2022 19:15:29,Student,3,5,5,5,5,5,4,5,4,5,4,5,4,4,3,4,"Instead of just focusing on the learning part, schools should also focus on implementing them.  And of course not implementing them in assignments but something real life applications."
3/22/2022 19:24:53,Student,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,"less homework, less exam pressure, lesser importance of marks. More emphasis on practical learning and extracurricular activities like, debates, MUN's, tech contests, science contests."
3/22/2022 19:26:31,Student,3,3,2,4,5,2,4,3,3,2,4,3,3,3,5,7,"A more creative form of assessment and testing to be conducted instead of the traditional manners, in such a way as to focus on overall development of the students, along with better understanding of the concepts."
3/22/2022 19:26:52,Student,5,2,5,5,1,5,4,5,2,5,4,5,1,5,5,8,
3/22/2022 19:29:17,Student,3,4,5,5,5,3,5,5,5,5,4,5,4,4,4,5,
3/22/2022 19:32:17,Student,3,3,2,3,4,3,3,3,4,2,2,2,3,2,4,3,
3/22/2022 19:37:36,Student,4,4,4,5,5,3,3,3,3,3,4,3,3,4,5,6,
3/22/2022 19:42:17,Student,3,5,3,3,4,4,4,1,1,1,1,3,1,4,3,4,
3/22/2022 19:43:45,Student,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,
3/22/2022 20:49:43,Teacher,4,3,4,2,4,5,4,2,3,4,2,3,3,3,4,6,
3/22/2022 21:18:41,Teacher,3,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,
3/22/2022 21:20:01,Student,3,5,5,5,5,2,5,3,5,4,5,2,5,3,5,4,
3/22/2022 22:03:26,Student,3,1,4,4,5,4,5,5,4,3,4,4,4,5,5,9,
3/22/2022 22:04:41,Student,4,5,5,4,4,5,5,4,5,3,4,4,4,4,5,9,
3/22/2022 22:04:50,Student,4,5,5,5,5,4,4,5,4,4,5,5,5,4,5,7,
3/22/2022 22:06:34,Counsellor,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,
3/22/2022 22:21:11,Counsellor,3,5,5,2,5,5,5,5,5,5,5,5,5,5,5,7,
3/22/2022 22:28:27,Teacher,4,5,5,5,4,4,4,4,4,5,5,5,4,5,5,2,Encouragement of students 
3/22/2022 22:31:27,Student,3,2,2,2,1,1,2,1,1,2,1,1,1,3,2,1,
3/22/2022 22:50:52,Student,3,5,5,5,5,4,4,5,5,5,5,5,5,4,5,4,"Picnic, trip and learning according to their age and level without any pressure."
3/23/2022 8:33:31,Counsellor,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
3/23/2022 10:06:59,Student,4,4,5,5,5,3,4,2,3,3,4,3,4,3,3,4,
3/23/2022 12:12:43,Teacher,3,5,5,1,5,4,5,5,5,5,5,5,5,5,5,4,All students should be treated equally . Average students should be given more importance.  They should be given more importance to participate in all activities. 
3/23/2022 12:13:46,Teacher,3,3,1,2,3,3,3,3,4,3,5,5,4,4,4,5,
3/23/2022 12:16:22,Teacher,3,5,3,3,5,5,5,5,5,5,5,5,4,4,5,3,Teachers should live with students friendly and sportingly so that they can be more interested in studying
